LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
152,3.42,2018,B+,A,A,3.206,3.287,N,N,N,N,Y,Barbri,0.96,3,N,N,103,3,2.67,133.3,258.8,0
155,2.82,2018,B+,B,B,2.431,3.197,Y,Y,N,N,Y,Barbri,0.98,0,Y,N,76,3,3.17,132.7,265.8,0
157,3.46,2018,C,B,B,2.62,2.913,N,N,N,N,N,Barbri,0.48,3,Y,N,99,3,2.67,118.2,243.7,0
156,3.13,2018,D+,C,C+,2.275,2.772,N,Y,N,N,N,Barbri,1,0,Y,N,81,2.5,3,140.1,265.6,0
145,3.49,2018,C,C+,C+,2.293,2.905,N,Y,Y,N,Y,Themis,0.77,5,Y,N,99,3.5,2.67,125.4,255.9,0
154,2.85,2018,B+,F,CR,2.538,2.819,N,N,N,N,Y,Themis,0.02,1,Y,N,NA,3,2,113.5,228.9,0
149,3.43,2018,C,C,B,2.275,3.005,N,Y,Y,N,Y,Themis,0.9,5,Y,N,90,2.5,3.5,134.7,267.8,0
160,3.29,2018,C,C+,B,2.655,3.086,N,Y,N,N,N,Themis,0.76,5,Y,N,97,2.5,3,140.8,266.3,0
152,3.62,2018,C+,B,B,2.603,3.213,N,N,N,N,Y,Themis,0.77,1,N,N,100,3,2.67,103.6,229.1,0
