LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
150,3.64,2019,C+,C,C+,2.326,2.725,Y,N,N,N,N,Themis,0.86,5,Y,N,NA,3,3.8333,130.9,271,1
152,3.75,2019,C+,C+,CR,2.775,3.313,N,N,N,N,N,Themis,1,0,N,N,NA,3.5,4.3333,153.1,305,1
156,3.6,2019,B+,B+,B,3.4,3.244,N,N,N,N,Y,Themis,0.85,0,N,Y,87,5,3.6667,149.3,305.8,1
157,4,2019,A,A,A,3.894,3.88,N,N,N,N,Y,Barbri,0.99,0,N,Y,107,4.5,4.1667,167.6,326.5,1
153,3.52,2019,B+,B,B+,3.166,3.201,N,N,N,N,Y,Themis,0.46,0,N,N,85,4,3.8333,153.1,302.6,1
155,3.78,2019,A,B+,B,3.65,3.689,N,N,N,N,Y,Themis,0.74,0,N,Y,102,3.5,4.5,150,304.1,1
152,3.48,2019,C,C+,CR,2.343,2.979,N,N,N,N,Y,Themis,0.85,5,Y,Y,79,4,3.3333,137.4,279.9,1
158,3.02,2019,B,B,CR,3.35,3.428,N,N,N,Y,Y,Themis,0.85,1,N,N,91,4,4.1667,156.2,310.3,1
156,2.74,2019,D+,B,B+,3.076,3.169,N,N,N,N,Y,Themis,0.89,0,N,Y,97,2.5,4.1667,140.7,280.8,1
157,3.63,2019,C+,B+,B+,3.066,3.306,N,N,N,N,Y,Themis,0.72,5,N,Y,87,3,4.1667,144.2,289.1,1
157,3.69,2019,B,C+,A,3.021,2.892,N,N,N,N,Y,Themis,0.82,0,Y,N,101,4.5,4,132.8,289.3,1
156,3.64,2019,B,A,B+,3.25,3.428,N,N,N,N,N,Barbri,0.8,0,N,N,121,4,3.3333,148.5,291,1
156,3.23,2019,A,C+,CR,3.145,3.4,Y,N,N,N,Y,Themis,0.97,2,N,Y,89,4,3.8333,135.4,284.9,1
154,3.97,2019,B+,B+,CR,3.156,3.536,N,N,N,N,N,Barbri,1,5,N,Y,87,3,3.8333,142.8,282.9,1
151,3.46,2019,B,B,B,2.947,3.063,N,N,N,N,Y,NA,NA,2,Y,N,99,3.5,3,147.8,280.9,1
165,3.47,2019,B+,B,B+,3.4,3.55,N,N,N,N,Y,Themis,0.72,1,N,N,101,4.5,3.8333,153.1,307.2,1
160,3.81,2019,B,B+,CR,3.656,3.688,N,N,N,N,Y,Themis,0.99,1,N,N,99,3,4.5,159.5,309,1
155,3.04,2019,B+,B+,CR,3.281,2.957,Y,N,N,N,N,Barbri,0.87,5,Y,N,93,3.5,3.1667,134.1,269.6,1
154,3.19,2019,B+,B+,A,3.233,3.442,N,N,N,N,Y,Themis,0.87,1,N,N,104,2.5,3.6667,147.8,280.9,1
