LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
148,3.69,2018,D+,C,B,2.482,2.818,N,Y,N,N,Y,Themis,0.96,2,Y,N,108,4,3.3333,135.4,281,1
157,3.3,2018,B+,B,B+,3.189,3.397,N,N,N,N,N,Themis,0.93,0,N,N,92,4,4,139.4,295.1,1
155,3.4,2018,B,B,B,3.344,3.662,N,N,N,N,N,Barbri,1,0,N,Y,105,4,3.8333,157,310.2,1
152,3.62,2018,B+,B,B+,3.12,3.528,N,N,N,N,Y,Barbri,1,5,N,Y,115,4.5,4.1667,157.8,321.1,1
157,2.65,2018,A,A,A,3.81,3.885,N,N,N,N,Y,Barbri,0.96,0,N,N,90,2.5,4,164.5,305.1,1
150,3.66,2018,C+,A,A,2.741,3.097,N,N,N,N,Y,Barbri,1,3,Y,N,94,3.5,3.3333,145,285.6,1
152,3.32,2018,B,B,C+,2.724,3.164,N,N,N,N,Y,Barbri,0.91,5,N,Y,105,4,3,140.8,281.4,1
158,3.21,2018,B+,B,B,3.465,3.632,N,N,N,N,N,Themis,0.81,4,N,N,97,3.5,5,163.6,329.3,1
148,3.82,2018,C+,B+,C+,2.603,3.258,N,N,N,N,N,Themis,1,5,N,N,106,3.5,3.3333,148.6,289.2,1
152,3.63,2018,B+,B,C+,3.034,3.39,N,N,N,N,N,Barbri,0.9,0,N,N,88,3.5,3.6667,147.9,293.5,1
157,4.02,2018,A,A,A,3.862,3.737,N,N,N,N,Y,Barbri,0.9,0,N,N,119,4.5,4.3333,157.8,323.5,1
156,3.43,2018,C,C+,D+,2.448,3.297,Y,Y,N,N,Y,Barbri,0.53,1,N,N,114,4.5,3.8333,140.1,298.2,1
156,3.31,2018,B+,C+,C,3.051,3.39,N,N,N,N,N,Themis,1,0,N,N,100,4,3.6667,151.5,302.1,1
156,3.34,2018,B,C+,B,2.534,3.065,N,N,N,N,Y,Themis,0.91,5,Y,Y,100,2.5,3.6667,138.7,274.2,1
154,3.39,2018,B,B,C+,2.775,3.197,N,N,N,N,N,Themis,0.85,0,N,Y,117,4,3.6667,146.4,297,1
159,2.69,2018,B+,C,B,3,3.357,Y,N,N,N,N,Themis,0.75,4,N,N,93,4.5,3.8333,138.7,296.8,1
153,3.57,2018,C+,B,B,3,3.369,N,N,N,N,Y,Barbri,1,0,N,N,108,3.5,3.5,150.8,293.8,1
